image,channel,param,quality,repeat,seed,psnr,ssim,compression_ratio,time_source_enc,time_channel_enc,time_interleave,time_transmission,time_channel_dec,time_source_dec,actual_error_rate,viterbi_ber,source_bits,encoded_bits
synthetic_nature,bsc,0.0,10,1,42,30.44135660687026,0.8286489518103416,28.887452248016455,0.17880590000000002,0.004637300000000011,0.0067090000000000205,0.00021380000000004173,0.3495733,0.08650119999999994,0.0,0.0,54448,108908
synthetic_nature,bsc,0.0,10,1,123,30.44135660687026,0.8286489518103416,28.887452248016455,0.17108449999999986,0.004171499999999995,0.006056400000000073,0.00012250000000002537,0.3549869999999997,0.08238480000000004,0.0,0.0,54448,108908
synthetic_nature,bsc,0.0,10,1,456,30.44135660687026,0.8286489518103416,28.887452248016455,0.18018479999999992,0.0048520000000000785,0.006390600000000024,0.00019320000000000448,0.34821670000000005,0.08413380000000004,0.0,0.0,54448,108908
synthetic_geometric,bsc,0.0,10,1,42,29.808862056326674,0.9043158416759978,32.88859150217464,0.1785648000000002,0.003870299999999993,0.0054731000000001195,0.0002145000000002284,0.3049569000000001,0.08780710000000003,0.0,0.0,47824,95660
synthetic_geometric,bsc,0.0,10,1,123,29.808862056326674,0.9043158416759978,32.88859150217464,0.1721733000000003,0.004516699999999929,0.0057323000000000235,0.00010740000000009076,0.2976740000000002,0.08791500000000019,0.0,0.0,47824,95660
synthetic_geometric,bsc,0.0,10,1,456,29.808862056326674,0.9043158416759978,32.88859150217464,0.16695230000000016,0.004019399999999784,0.004837299999999711,0.00011059999999973869,0.30475819999999976,0.08708519999999975,0.0,0.0,47824,95660
synthetic_gradient,bsc,0.0,10,1,42,33.21846376558947,0.8600738537837967,35.08351177730193,0.16983809999999977,0.004060499999999578,0.005090599999999945,0.0001024999999996723,0.2845266000000004,0.08512559999999958,0.0,0.0,44832,89676
synthetic_gradient,bsc,0.0,10,1,123,33.21846376558947,0.8600738537837967,35.08351177730193,0.16875779999999985,0.0042391999999997765,0.005173300000000047,9.250000000005087e-05,0.28702810000000056,0.08461859999999977,0.0,0.0,44832,89676
synthetic_gradient,bsc,0.0,10,1,456,33.21846376558947,0.8600738537837967,35.08351177730193,0.1682636999999998,0.003715299999999644,0.005104600000000126,9.220000000009776e-05,0.28143210000000085,0.08508139999999997,0.0,0.0,44832,89676
synthetic_noise,bsc,0.0,10,1,42,11.184136235535199,0.3643531495829448,10.870728740462235,0.18457619999999952,0.014433999999999614,0.017788300000000312,0.0005079000000005607,0.9447736999999998,0.18636199999999992,0.0,0.0,144688,289388
synthetic_noise,bsc,0.0,10,1,123,11.184136235535199,0.3643531495829448,10.870728740462235,0.18612669999999998,0.018619900000000023,0.017324200000000012,0.0005196999999999008,0.9296833999999992,0.18284209999999845,0.0,0.0,144688,289388
synthetic_noise,bsc,0.0,10,1,456,11.184136235535199,0.3643531495829448,10.870728740462235,0.19342709999999919,0.014688999999998842,0.01747489999999985,0.00047419999999931406,0.9401440000000001,0.18244909999999948,0.0,0.0,144688,289388
synthetic_nature,bsc,0.0,50,1,42,40.95311169419615,0.974870048636307,15.718580108730412,0.1784314000000009,0.009827800000000053,0.011767400000000094,0.00034600000000040154,0.634519700000002,0.20110389999999967,0.0,0.0,100064,200140
synthetic_nature,bsc,0.0,50,1,123,40.95311169419615,0.974870048636307,15.718580108730412,0.18303769999999986,0.009055899999999895,0.011698799999999565,0.00032540000000125247,0.626290599999999,0.2019491999999996,0.0,0.0,100064,200140
synthetic_nature,bsc,0.0,50,1,456,40.95311169419615,0.974870048636307,15.718580108730412,0.17682459999999978,0.008958399999999145,0.011840100000000575,0.0003079000000010268,0.6230573000000028,0.2005321000000002,0.0,0.0,100064,200140
